"Gene","Accuracy","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RBMS3",0.892307692307692,127.293101268647,-1.66874741124817,0.185280443134521,-9.0066030878207,2.12537637993795e-19,5.14482775703647e-18
"MARCO",0.892307692307692,592.177742004092,-4.53645754738389,0.395979762431214,-11.4562863504216,2.18692197529854e-30,2.54102838153888e-28
"DPT",0.892307692307692,244.06994875708,-3.8072231085757,0.381209216812974,-9.98722732992987,1.73363087815365e-23,7.11278386279763e-22
"AADAT",0.892307692307692,560.048948530887,-2.43587070839661,0.196968527807136,-12.3668016180825,3.9524876263169e-35,9.98364004950028e-33
"ACAA1",0.892307692307692,3709.37316716583,-1.67920540250201,0.133432736252936,-12.5846583803759,2.56449801545627e-36,8.27705981699707e-34
"GMNN",0.892307692307692,412.51012674614,1.64809887847187,0.124154006106072,13.2746330961225,3.24858334179865e-40,2.00776274282058e-37
"EDNRB",0.892307692307692,807.392097023122,-1.39011461841188,0.171593581381905,-8.10120406146189,5.44178828455452e-16,8.63315489294046e-15
"PTGIR",0.892307692307692,68.4058694690089,-1.9038122488145,0.222117292535183,-8.57120230075264,1.02410160098534e-17,2.00323927982642e-16
"CDC6",0.892307692307692,180.35601512207,2.59606209678458,0.251220302078025,10.3338069228907,4.95539958379101e-25,2.5209185133093e-23
"HEPACAM",0.892307692307692,111.473303764537,-1.88168888835773,0.444319173851433,-4.23499366918365,2.28558144918286e-05,8.02994314657279e-05
"CENPF",0.892307692307692,439.150481014114,3.65684042748032,0.278727831224219,13.1197534577687,2.53759126457767e-39,1.4175375202587e-36
"CHRM2",0.892307692307692,14.5430768947106,-3.82105222873414,0.430246102276706,-8.88108505461064,6.62113012901374e-19,1.49790177560429e-17
"MUC6",0.892307692307692,229.160436580128,-3.19876805216314,0.387860458411025,-8.24721361199788,1.62130452407327e-16,2.72229212805088e-15
"IGFALS",0.892307692307692,1097.09926277253,-3.70846736685133,0.305190332762301,-12.1513264633441,5.64423414144817e-34,1.22353517418497e-31
"RANBP3L",0.892307692307692,112.898992429715,-2.44933279849889,0.287296056713639,-8.52546612200894,1.52195680930057e-17,2.90606376418705e-16
"ECHS1",0.892307692307692,8003.65867136877,-1.60484550338868,0.127033723678682,-12.633224130688,1.3848548905647e-36,4.73261939542629e-34
"FAM189B",0.892307692307692,254.486849453642,1.55841390111452,0.121480014504316,12.8285620270415,1.13450273821659e-37,4.514388430098e-35
"FXN",0.892307692307692,235.203397260373,-1.25733387169095,0.099444622726837,-12.6435581654797,1.21431732900498e-36,4.21224817683833e-34
